R:AB:Aubrey Madison
D:O:Dakota Dyson
S:Sam Khyvrych
R:O:Rudy Maruska
D:A:Blair Zoric
D:O:Sandy Chaikin
R:A:Noah Ratajczak
S:Drew Visnjic
S:Mel Averill
R:A:Robin Katerczak
R:O:Max Katerynchuk
R:A:Angel Mould
R:O:An Mynatt
R:B:Sasha Emmett
R:A:Hunter Ibbott
D:O:Cody Tyson
S:Harley Rivlin
D:O:Peyton Audley
R:O:Murphy Silje
R:O:Quinn Alscher
S:Steph Parnell
S:Chris Elena
R:B:Jordan Rozsa
R:O:Evan Hilliard
R:A:Riku Elwes
R:A:Courtney Royce
R:A:Jess Rochlin
R:O:Casey Merrill
R:O:Dylan Szchak
S:Riley Marion
S:Shay Kato
S:Mackenzie Anson
D:B:Cameron Eady
R:B:Rowan Janjic
S:Hadley Minett
R:O:Joey Viola
R:A:Leslie Feiglin
R:A:Kendall Aleshire
R:O:Bailey Ganza
S:Ashton Olenych
D:A:Tatum Schwenke
S:Leighton Rose
R:O:Drew Jundt
S:Charlie Bell
R:O:Ali Everill
S:Montana Bodilsen
S:Devon Ababei
S:Andrea Saric
R:A:Jean Tahtinen
D:O:Thanh Afjes
R:A:Mal Zeitlin
S:Cory Ailincai
R:A:Rory Rodney
D:AB:Mitchell Sorkin
R:A:Taylor Helguson
D:O:Pat Evelyn
R:AB:Jamie Ruskin
R:O:Alex Yount
R:A:Ash Olayinka
D:A:Addison Dwight
